objectid,title,format,filename,subject,description,date,publisher,streetaddress,location,latitude,longitude
item1,A Court of Thorns and Roses,image/jpeg,acotarcollector.jpg,Faeries; Magic; Transformation; Test; Retelling; Romance,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item2,A Court of Thorns and Roses,image/jpeg,acotarog.jpg,Faeries; Magic; Transformation; Test; Retelling; Romance,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item3,A Court of Thorns and Roses,image/jpeg,acotarneon.jpg,Faeries; Magic; Transformation; Test; Retelling; Romance,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.",2015,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item4,A Court of Mist and Fury,image/jpeg,acomafog.jpg,Faeries; Magic; Retelling; Romance; War; Training,"Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.",2016,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item5,A Court of Mist and Fury,image/jpeg,acomafneon.jpg,Faeries; Magic; Retelling; Romance; War; Training,"Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.",2016,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item6,A Court of Wings and Ruin,image/jpeg,acowarog.jpg,Faeries; Magic; Retelling; Romance; War; Training; Battle,"Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not only for Feyre, but for everything-and everyone-she holds dear.

As war bears down upon them all, Feyre endeavors to take her place amongst the High Fae of the land, balancing her struggle to master her powers-both magical and political-and her love for her court and family. Amidst these struggles, Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords, and hunt for allies in unexpected places.",2017,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item7,A Court of Wings and Ruin,image/jpeg,acowarneon.jpg,Faeries; Magic; Retelling; Romance; War; Training; Battle,"Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not only for Feyre, but for everything-and everyone-she holds dear.

As war bears down upon them all, Feyre endeavors to take her place amongst the High Fae of the land, balancing her struggle to master her powers-both magical and political-and her love for her court and family. Amidst these struggles, Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords, and hunt for allies in unexpected places.
",2017,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item8,A Court of Frost and Starlight,image/jpeg,acofasog.jpg,Faeries; Magic; Retelling; Romance,"Feyre, Rhysand, and their friends are still busy rebuilding the Night Court and the vastly altered world beyond, recovering from the war that changed everything. But Winter Solstice is finally approaching, and with it, the joy of a hard-earned reprieve.

Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, her concern for those dearest to her deepens. They have more wounds than she anticipated-scars that will have a far-reaching impact on the future of their court.",2018,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item9,A Court of Frost and Starlight,image/jpeg,acofasneon.jpg,Faeries; Magic; Retelling; Romance ,"Feyre, Rhysand, and their friends are still busy rebuilding the Night Court and the vastly altered world beyond, recovering from the war that changed everything. But Winter Solstice is finally approaching, and with it, the joy of a hard-earned reprieve.

Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, her concern for those dearest to her deepens. They have more wounds than she anticipated-scars that will have a far-reaching impact on the future of their court.",2018,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
item10,A Court of Silver Flames,image/jpeg,acosfneon.jpg,Faeries; Trial; Anger; Trial; Training; Education,"Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.

The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other.

Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts.

Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.",2021,Bloomsbury Publishing USA,"1359 Broadway, 12th Floor","New York, NY",40.751847,-73.987952
